TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20240101240549,4,4,22,2,0,0,0
20240101240566,1,42,19,2,0,0,0
20240101240571,1,26,18,1,0,0,0
20240101240571,2,26,20,2,0,0,0
20240101240573,1,60,18,1,0,0,0
20240101240573,2,60,20,2,0,0,0
20240101240575,1,71,19,1,0,0,0
20240101240577,1,31,18,2,0,0,0
20240101240577,2,31,20,1,0,0,0
20240101240577,3,3,22,1,0,0,0
20240101240577,4,1,22,2,0,0,0
20240101240622,1,85,18,1,60,0,0
20240101240622,2,79,20,2,0,0,0
20240101240656,1,71,18,2,0,0,0
20240101240656,2,73,20,1,0,0,0
20240101240658,1,77,18,1,0,0,0
20240101240658,2,77,20,2,0,0,0
20240101240660,1,85,18,1,60,0,0
20240101240660,2,78,20,2,0,0,0
20240101240678,1,25,18,1,0,0,0
20240101240678,2,57,24,2,0,0,0
20240101240678,3,28,25,1,0,0,0
20240101240724,1,47,19,1,0,0,0
20240101240738,1,80,18,1,0,0,0
20240101240738,2,80,20,2,0,0,0
20240101240750,1,50,18,2,0,0,0
20240101240750,2,51,20,1,0,0,0
20240101240766,1,71,19,1,0,0,0
20240101240811,1,48,18,2,0,0,0
20240101240811,2,73,24,2,0,0,0
20240101240817,1,80,18,2,0,0,0
20240101240817,2,80,20,1,0,0,0
20240101240839,1,80,19,1,0,0,0
20240101240851,1,73,19,2,0,0,0
20240101240865,1,61,19,1,0,0,0
20240101240875,1,45,18,2,0,0,0
20240101240875,2,17,22,1,0,0,0
20240101240876,1,74,18,2,0,0,0
20240101240876,2,74,20,1,0,0,0
20240101240880,1,78,18,1,0,0,0
20240101240880,2,74,20,2,0,0,0
20240101240896,1,37,18,1,0,0,0
20240101240896,2,34,20,2,0,0,0
20240101240896,3,3,22,2,0,0,0
20240101240904,1,63,19,2,0,0,0
20240101240905,1,30,18,1,0,0,0
20240101240905,2,7,22,1,0,0,0
20240101240963,1,44,18,1,0,0,0
20240101240963,2,43,20,2,0,0,0
20240101240963,3,14,22,2,0,0,0
20240101240963,4,10,22,1,0,0,0
20240101240987,1,73,19,1,0,0,0
20240101241018,1,27,18,2,0,0,0
20240101241018,2,28,20,1,0,0,0
20240101241018,3,1,22,2,0,0,0
20240101241026,1,77,18,1,0,0,0
20240101241026,2,76,20,2,0,0,0
20240101241041,1,52,18,2,0,0,0
20240101241041,2,55,20,1,0,0,0
20240101241067,1,26,18,2,0,0,0
20240101241067,2,24,20,1,0,0,0
20240101241083,1,66,18,2,0,0,0
20240101241083,2,68,20,1,0,0,0
20240101241101,1,73,18,1,0,0,0
20240101241101,2,56,28,2,0,0,0
20240101241101,3,67,28,1,0,0,0
20240101241102,1,76,18,1,0,0,0
20240101241102,2,75,20,2,0,0,0
20240101241105,1,74,18,2,0,0,0
20240101241105,2,73,20,1,0,0,0
20240101241122,1,67,18,1,0,0,0
20240101241122,2,68,20,2,0,0,0
20240101241177,1,85,18,1,60,0,0
20240101241177,2,59,22,2,0,0,0
20240101241178,1,74,19,2,0,0,0
20240101241186,1,80,18,1,0,0,0
20240101241186,2,80,20,2,0,0,0
20240101241187,1,58,18,2,0,0,0
20240101241187,2,85,30,2,60,0,0
20240101241187,3,38,22,2,0,0,0
20240101241187,4,26,22,2,0,0,0
20240101241197,1,69,18,2,0,0,0
20240101241197,2,71,20,1,0,0,0
20240101241199,1,71,18,2,0,0,0
20240101241199,2,75,20,1,0,0,0
20240101241205,1,68,18,2,0,0,0
20240101241205,2,72,20,1,0,0,0
20240101241216,1,66,18,1,0,0,0
20240101241216,2,60,20,2,0,0,0
20240101241240,1,85,19,2,60,0,0
20240101241253,1,43,18,2,0,0,0
20240101241253,2,14,22,2,0,0,0
20240101241253,3,12,22,2,0,0,0
20240101241270,1,72,18,2,0,0,0
20240101241270,2,77,20,1,0,0,0
20240101241272,1,53,18,1,0,0,0
